W,q,theta_p
30.0,0.01,2.498750624687662e-05
30.0,0.05,8.457309806635336e-05
30.0,0.1,0.00021989005497251646
30.0,0.15,0.0003065134099616896
30.0,0.2,0.000339458753595342
30.0,0.25,0.00034982508745627156
30.0,0.3,0.00039296591020729094
30.0,0.35000000000000003,0.00041773984802471136
30.0,0.4,0.0005130767949358775
30.0,0.45000000000000007,0.0008495752123937989
30.0,0.5,0.0008495752123938106
30.0,0.5499999999999999,0.0010994502748625696
30.0,0.6,0.0010994502748625696
30.0,0.65,0.0010994502748625696
30.0,0.7000000000000001,0.0010994502748625696
30.0,0.75,0.0010994502748625696
30.0,0.8,0.0010994502748625696
30.0,0.8500000000000001,0.0010994502748625696
30.0,0.9000000000000001,0.0010994502748625696
30.0,0.95,0.0010994502748625696
30.0,1.0,0.0010994502748625766
40.0,0.01,9.447065600785598e-06
40.0,0.05,5.470903677610091e-05
40.0,0.1,0.00010897994768962561
40.0,0.15,0.00016420935799955856
40.0,0.2,0.0002158125072474328
40.0,0.25,0.00021795989537925784
40.0,0.3,0.00022808187194484715
40.0,0.35000000000000003,0.0003443548335189309
40.0,0.4,0.0003829740671845899
40.0,0.45000000000000007,0.0003858140676828181
40.0,0.5,0.000532276950519437
40.0,0.5499999999999999,0.0005560339126702857
40.0,0.6,0.0005982064555918446
40.0,0.65,0.000614250614250623
40.0,0.7000000000000001,0.0006159286760921453
40.0,0.75,0.0006238162522923198
40.0,0.8,0.0006825586197402975
40.0,0.8500000000000001,0.0007628596338273863
40.0,0.9000000000000001,0.0010998206215113596
40.0,0.95,0.0012128780426389867
40.0,1.0,0.001213962389434254
50.0,0.01,7.0341553065632945e-06
50.0,0.05,4.2836202187404414e-05
50.0,0.1,5.7720819664046986e-05
50.0,0.15,0.00010551232959844796
50.0,0.2,0.00012065589279110929
50.0,0.25,0.00016560938552500698
50.0,0.3,0.00022044508618603232
50.0,0.35000000000000003,0.00027175417470144247
50.0,0.4,0.00028860104166944273
50.0,0.45000000000000007,0.00031821178767784823
50.0,0.5,0.000353117784120832
50.0,0.5499999999999999,0.00038101674577217126
50.0,0.6,0.00038101674577218167
50.0,0.65,0.00045190946476574907
50.0,0.7000000000000001,0.00047544263494180163
50.0,0.75,0.000581222943069889
50.0,0.8,0.0006074307613887119
50.0,0.8500000000000001,0.0006074307613887291
50.0,0.9000000000000001,0.0006528346768864577
50.0,0.95,0.0006577992979352121
50.0,1.0,0.0006824805446248844
60.0,0.01,1.0524907995778068e-05
60.0,0.05,3.207649251796855e-05
60.0,0.1,7.236325716397388e-05
60.0,0.15,8.75252087338563e-05
60.0,0.2,0.00011600583173148384
60.0,0.25,0.000159402626282026
60.0,0.3,0.0002118673396055122
60.0,0.35000000000000003,0.00024044999442303597
60.0,0.4,0.0002868630782708699
60.0,0.45000000000000007,0.00031551267890146185
60.0,0.5,0.00032786533889497154
60.0,0.5499999999999999,0.00037946493594184674
60.0,0.6,0.00039850656570508236
60.0,0.65,0.0004351048597927259
60.0,0.7000000000000001,0.00045490642827493547
60.0,0.75,0.00047262470401394403
60.0,0.8,0.0005498477344735352
60.0,0.8500000000000001,0.0005498477344735508
60.0,0.9000000000000001,0.0005988042232398948
60.0,0.95,0.0005998338921529665
60.0,1.0,0.0006398944189396612
70.0,0.01,1.2526045925859971e-05
70.0,0.05,3.545372984099293e-05
70.0,0.1,6.506864141280807e-05
70.0,0.15,9.37757119937525e-05
70.0,0.2,0.0001147646327846722
70.0,0.25,0.000131316959699237
70.0,0.3,0.00016216558049274188
70.0,0.35000000000000003,0.0001897344673305864
70.0,0.4,0.00019822537765902065
70.0,0.45000000000000007,0.00023568400962230754
70.0,0.5,0.0002821756029332626
70.0,0.5499999999999999,0.0003100535843016303
70.0,0.6,0.000318796752653293
70.0,0.65,0.00035020954094732674
70.0,0.7000000000000001,0.0003816288577931621
70.0,0.75,0.0004192378115156725
70.0,0.8,0.0004627610344570926
70.0,0.8500000000000001,0.0004777746015742408
70.0,0.9000000000000001,0.0004981113708644384
70.0,0.95,0.0005167068577780362
70.0,1.0,0.0005480941792308805
80.0,0.01,3.9618935899946315e-06
80.0,0.05,2.1931604560446623e-05
80.0,0.1,4.619616371004031e-05
80.0,0.15,7.796323519748657e-05
80.0,0.2,0.00010099837227196141
80.0,0.25,0.00012705402632026802
80.0,0.3,0.00014285491583963304
80.0,0.35000000000000003,0.00016480082372227558
80.0,0.4,0.00017330267917373322
80.0,0.45000000000000007,0.0001983085199505569
80.0,0.5,0.00022064064637522198
80.0,0.5499999999999999,0.00027134985250277583
80.0,0.6,0.0002745162272829859
80.0,0.65,0.00028588347575725424
80.0,0.7000000000000001,0.00031535704945293003
80.0,0.75,0.00033847064249026206
80.0,0.8,0.0003474830425274192
